R,G,B
82,66,92
81,66,89
79,61,85
80,62,88
93,76,108
90,74,110
91,77,112
86,75,109
77,68,99
76,69,100
77,72,102
74,69,99
71,67,94
83,79,106
87,81,107
79,70,97
80,70,97
93,80,108
98,83,112
92,77,106
95,78,110
103,86,118
120,103,135
132,115,147
131,114,148
128,111,145
119,104,137
107,92,125
87,72,105
93,78,111
102,87,120
110,95,128
116,101,132
121,106,137
126,111,142
127,116,146
125,119,147
122,118,145
124,118,146
124,118,146
119,113,139
111,105,131
107,98,125
107,98,125
108,98,123
106,96,121
110,97,123
113,100,126
112,100,124
105,91,116
100,86,111
99,85,111
104,89,118
100,85,114
93,80,108
87,74,102
81,71,98
78,68,95
77,69,93
78,70,94
79,74,96
76,71,93
77,72,94
80,77,96
