R,G,B
159,123,111
159,123,111
158,122,110
157,121,109
157,121,109
155,119,107
154,118,106
154,118,106
156,120,108
158,122,110
158,122,110
157,121,109
158,120,109
162,124,113
163,125,114
159,121,110
151,115,103
147,111,99
149,113,101
151,117,105
156,122,110
157,123,111
159,127,114
160,128,115
160,128,115
154,122,109
146,114,101
140,108,95
149,115,105
152,118,108
155,121,111
154,122,111
151,119,108
148,116,105
146,114,103
144,114,103
149,119,108
149,121,109
149,121,109
150,122,110
150,122,110
150,122,110
149,121,109
149,121,109
149,119,109
148,118,108
147,117,107
147,117,107
150,120,110
153,123,113
158,126,115
159,127,116
155,123,110
154,122,109
154,120,108
153,119,107
154,121,106
156,123,108
161,125,111
162,126,112
159,123,109
161,125,111
164,128,116
166,130,116
167,131,117
165,129,115
163,127,113
162,126,112
165,129,113
165,129,113
164,128,112
163,127,111
162,126,110
160,125,106
159,123,107
157,124,105
159,126,107
158,127,107
157,125,110
157,125,110
157,125,114
158,126,115
159,126,117
160,127,118
159,126,119
155,122,115
151,118,109
150,117,108
152,120,109
155,123,112
157,125,112
157,125,112
160,126,117
160,126,117
159,125,116
159,125,116
159,125,116
159,125,116
160,126,117
160,126,117
153,119,110
151,117,108
148,114,105
146,112,103
148,114,105
151,117,108
156,122,113
159,125,116
163,126,117
164,127,118
166,129,120
165,128,119
162,125,116
158,121,112
154,117,108
152,115,106
144,107,98
146,109,100
150,113,104
153,116,107
156,119,110
159,122,113
163,126,117
166,129,120
166,130,118
166,130,118
165,128,119
165,128,119
166,129,121
167,130,122
167,130,124
166,129,123
169,132,124
166,129,121
162,125,116
159,123,111
160,124,110
164,128,112
170,135,116
173,138,119
166,129,110
166,129,110
167,130,111
167,130,111
168,131,113
169,132,114
169,132,114
169,132,114
168,131,115
167,130,114
167,129,116
166,128,115
165,127,114
164,126,113
162,124,111
160,122,109
159,121,110
160,122,111
163,125,114
166,128,117
168,130,119
169,131,120
169,131,120
169,131,120
164,126,115
164,126,115
165,127,116
165,127,116
165,127,116
165,127,116
165,127,116
165,127,114
168,126,112
168,126,110
167,128,111
167,130,112
167,130,112
166,131,112
162,129,110
161,128,109
161,128,109
